Country/Region,Date,Cases,Lat,Long,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Daily_Cases,Lag_1,Lag_7,Growth_Rate,Rolling_7,Risk_Level
Afghanistan,2020-01-22,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-01-23,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-01-24,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-01-25,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-01-26,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-01-27,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-01-28,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-01-29,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-01-30,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-01-31,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-01,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-02,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-03,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-04,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-05,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-06,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-07,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-08,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-09,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-10,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-11,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-12,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-13,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-14,0,33.93911,67.709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-15,0,33.93911,67.709953,-9.0,-10.0,0.0,-2.0,-28.0,5.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-15,0,33.93911,67.709953,-13.0,-12.0,-14.0,-2.0,-39.0,6.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-16,0,33.93911,67.709953,3.0,11.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-16,0,33.93911,67.709953,0.0,9.0,-1.0,10.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-17,0,33.93911,67.709953,6.0,11.0,2.0,9.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-17,0,33.93911,67.709953,1.0,11.0,-3.0,10.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-18,0,33.93911,67.709953,3.0,5.0,3.0,9.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-18,0,33.93911,67.709953,-1.0,4.0,3.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-19,0,33.93911,67.709953,-1.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-19,0,33.93911,67.709953,-4.0,2.0,-5.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-20,0,33.93911,67.709953,-2.0,3.0,-1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-20,0,33.93911,67.709953,-3.0,5.0,-3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-21,0,33.93911,67.709953,0.0,9.0,4.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-21,0,33.93911,67.709953,-3.0,8.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-22,0,33.93911,67.709953,2.0,5.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-22,0,33.93911,67.709953,-2.0,8.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-23,0,33.93911,67.709953,2.0,6.0,2.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-23,0,33.93911,67.709953,-1.0,6.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-24,5,33.93911,67.709953,3.0,13.0,4.0,9.0,7.0,0.0,5.0,0.0,0.0,0.5,0.7142857142857143,LOW
Afghanistan,2020-02-24,5,33.93911,67.709953,-2.0,15.0,1.0,8.0,6.0,-1.0,0.0,5.0,0.0,-0.3333333333333333,0.7142857142857143,LOW
Afghanistan,2020-02-25,5,33.93911,67.709953,2.0,5.0,1.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,LOW
Afghanistan,2020-02-25,5,33.93911,67.709953,-2.0,7.0,4.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,LOW
Afghanistan,2020-02-26,5,33.93911,67.709953,-1.0,5.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,LOW
Afghanistan,2020-02-26,5,33.93911,67.709953,-2.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,LOW
Afghanistan,2020-02-27,5,33.93911,67.709953,-1.0,0.0,1.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.7142857142857143,LOW
Afghanistan,2020-02-27,5,33.93911,67.709953,-1.0,5.0,3.0,2.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0,LOW
Afghanistan,2020-02-28,5,33.93911,67.709953,-2.0,5.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-28,5,33.93911,67.709953,-3.0,7.0,6.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-29,5,33.93911,67.709953,-1.0,1.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-02-29,5,33.93911,67.709953,-4.0,1.0,3.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,LOW
Afghanistan,2020-03-01,5,33.93911,67.709953,3.0,10.0,2.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
