Country/Region,Date,Cases,Lat,Long
Afghanistan,2020-01-22,0,33.93911,67.709953
Afghanistan,2020-01-23,0,33.93911,67.709953
Afghanistan,2020-01-24,0,33.93911,67.709953
Afghanistan,2020-01-25,0,33.93911,67.709953
Afghanistan,2020-01-26,0,33.93911,67.709953
Afghanistan,2020-01-27,0,33.93911,67.709953
Afghanistan,2020-01-28,0,33.93911,67.709953
Afghanistan,2020-01-29,0,33.93911,67.709953
Afghanistan,2020-01-30,0,33.93911,67.709953
Afghanistan,2020-01-31,0,33.93911,67.709953
Afghanistan,2020-02-01,0,33.93911,67.709953
Afghanistan,2020-02-02,0,33.93911,67.709953
Afghanistan,2020-02-03,0,33.93911,67.709953
Afghanistan,2020-02-04,0,33.93911,67.709953
Afghanistan,2020-02-05,0,33.93911,67.709953
Afghanistan,2020-02-06,0,33.93911,67.709953
Afghanistan,2020-02-07,0,33.93911,67.709953
Afghanistan,2020-02-08,0,33.93911,67.709953
Afghanistan,2020-02-09,0,33.93911,67.709953
Afghanistan,2020-02-10,0,33.93911,67.709953
Afghanistan,2020-02-11,0,33.93911,67.709953
Afghanistan,2020-02-12,0,33.93911,67.709953
Afghanistan,2020-02-13,0,33.93911,67.709953
Afghanistan,2020-02-14,0,33.93911,67.709953
Afghanistan,2020-02-15,0,33.93911,67.709953
Afghanistan,2020-02-16,0,33.93911,67.709953
Afghanistan,2020-02-17,0,33.93911,67.709953
Afghanistan,2020-02-18,0,33.93911,67.709953
Afghanistan,2020-02-19,0,33.93911,67.709953
Afghanistan,2020-02-20,0,33.93911,67.709953
Afghanistan,2020-02-21,0,33.93911,67.709953
Afghanistan,2020-02-22,0,33.93911,67.709953
Afghanistan,2020-02-23,0,33.93911,67.709953
Afghanistan,2020-02-24,5,33.93911,67.709953
Afghanistan,2020-02-25,5,33.93911,67.709953
Afghanistan,2020-02-26,5,33.93911,67.709953
Afghanistan,2020-02-27,5,33.93911,67.709953
Afghanistan,2020-02-28,5,33.93911,67.709953
Afghanistan,2020-02-29,5,33.93911,67.709953
Afghanistan,2020-03-01,5,33.93911,67.709953
Afghanistan,2020-03-02,5,33.93911,67.709953
Afghanistan,2020-03-03,5,33.93911,67.709953
Afghanistan,2020-03-04,5,33.93911,67.709953
Afghanistan,2020-03-05,5,33.93911,67.709953
Afghanistan,2020-03-06,5,33.93911,67.709953
Afghanistan,2020-03-07,8,33.93911,67.709953
Afghanistan,2020-03-08,8,33.93911,67.709953
Afghanistan,2020-03-09,8,33.93911,67.709953
Afghanistan,2020-03-10,8,33.93911,67.709953
Afghanistan,2020-03-11,11,33.93911,67.709953
Afghanistan,2020-03-12,11,33.93911,67.709953
Afghanistan,2020-03-13,11,33.93911,67.709953
Afghanistan,2020-03-14,14,33.93911,67.709953
Afghanistan,2020-03-15,20,33.93911,67.709953
Afghanistan,2020-03-16,25,33.93911,67.709953
Afghanistan,2020-03-17,26,33.93911,67.709953
Afghanistan,2020-03-18,26,33.93911,67.709953
Afghanistan,2020-03-19,26,33.93911,67.709953
Afghanistan,2020-03-20,24,33.93911,67.709953
Afghanistan,2020-03-21,24,33.93911,67.709953
Afghanistan,2020-03-22,34,33.93911,67.709953
Afghanistan,2020-03-23,40,33.93911,67.709953
Afghanistan,2020-03-24,42,33.93911,67.709953
Afghanistan,2020-03-25,74,33.93911,67.709953
Afghanistan,2020-03-26,80,33.93911,67.709953
Afghanistan,2020-03-27,91,33.93911,67.709953
Afghanistan,2020-03-28,106,33.93911,67.709953
Afghanistan,2020-03-29,114,33.93911,67.709953
Afghanistan,2020-03-30,114,33.93911,67.709953
Afghanistan,2020-03-31,166,33.93911,67.709953
Afghanistan,2020-04-01,192,33.93911,67.709953
Afghanistan,2020-04-02,235,33.93911,67.709953
Afghanistan,2020-04-03,269,33.93911,67.709953
Afghanistan,2020-04-04,270,33.93911,67.709953
Afghanistan,2020-04-05,299,33.93911,67.709953
Afghanistan,2020-04-06,337,33.93911,67.709953
Afghanistan,2020-04-07,367,33.93911,67.709953
Afghanistan,2020-04-08,423,33.93911,67.709953
Afghanistan,2020-04-09,444,33.93911,67.709953
Afghanistan,2020-04-10,521,33.93911,67.709953
Afghanistan,2020-04-11,521,33.93911,67.709953
Afghanistan,2020-04-12,555,33.93911,67.709953
Afghanistan,2020-04-13,607,33.93911,67.709953
Afghanistan,2020-04-14,665,33.93911,67.709953
Afghanistan,2020-04-15,770,33.93911,67.709953
Afghanistan,2020-04-16,794,33.93911,67.709953
Afghanistan,2020-04-17,845,33.93911,67.709953
Afghanistan,2020-04-18,908,33.93911,67.709953
Afghanistan,2020-04-19,933,33.93911,67.709953
Afghanistan,2020-04-20,996,33.93911,67.709953
Afghanistan,2020-04-21,1026,33.93911,67.709953
Afghanistan,2020-04-22,1092,33.93911,67.709953
Afghanistan,2020-04-23,1176,33.93911,67.709953
Afghanistan,2020-04-24,1226,33.93911,67.709953
Afghanistan,2020-04-25,1330,33.93911,67.709953
Afghanistan,2020-04-26,1463,33.93911,67.709953
Afghanistan,2020-04-27,1531,33.93911,67.709953
Afghanistan,2020-04-28,1703,33.93911,67.709953
Afghanistan,2020-04-29,1827,33.93911,67.709953
Afghanistan,2020-04-30,1827,33.93911,67.709953
Afghanistan,2020-05-01,2171,33.93911,67.709953
Afghanistan,2020-05-02,2469,33.93911,67.709953
Afghanistan,2020-05-03,2469,33.93911,67.709953
Afghanistan,2020-05-04,2469,33.93911,67.709953
Afghanistan,2020-05-05,2469,33.93911,67.709953
Afghanistan,2020-05-06,3224,33.93911,67.709953
Afghanistan,2020-05-07,3392,33.93911,67.709953
Afghanistan,2020-05-08,3563,33.93911,67.709953
Afghanistan,2020-05-09,3563,33.93911,67.709953
Afghanistan,2020-05-10,4402,33.93911,67.709953
Afghanistan,2020-05-11,4664,33.93911,67.709953
Afghanistan,2020-05-12,4967,33.93911,67.709953
Afghanistan,2020-05-13,4967,33.93911,67.709953
Afghanistan,2020-05-14,5339,33.93911,67.709953
Afghanistan,2020-05-15,6053,33.93911,67.709953
Afghanistan,2020-05-16,6402,33.93911,67.709953
Afghanistan,2020-05-17,6635,33.93911,67.709953
Afghanistan,2020-05-18,7072,33.93911,67.709953
Afghanistan,2020-05-19,7655,33.93911,67.709953
Afghanistan,2020-05-20,8145,33.93911,67.709953
Afghanistan,2020-05-21,8676,33.93911,67.709953
Afghanistan,2020-05-22,9216,33.93911,67.709953
Afghanistan,2020-05-23,9952,33.93911,67.709953
Afghanistan,2020-05-24,10668,33.93911,67.709953
Afghanistan,2020-05-25,11180,33.93911,67.709953
Afghanistan,2020-05-26,11917,33.93911,67.709953
Afghanistan,2020-05-27,12465,33.93911,67.709953
Afghanistan,2020-05-28,13102,33.93911,67.709953
Afghanistan,2020-05-29,13745,33.93911,67.709953
Afghanistan,2020-05-30,14529,33.93911,67.709953
Afghanistan,2020-05-31,15180,33.93911,67.709953
Afghanistan,2020-06-01,15836,33.93911,67.709953
Afghanistan,2020-06-02,16578,33.93911,67.709953
Afghanistan,2020-06-03,17353,33.93911,67.709953
Afghanistan,2020-06-04,17977,33.93911,67.709953
Afghanistan,2020-06-05,19055,33.93911,67.709953
Afghanistan,2020-06-06,19637,33.93911,67.709953
Afghanistan,2020-06-07,20428,33.93911,67.709953
Afghanistan,2020-06-08,21003,33.93911,67.709953
Afghanistan,2020-06-09,21308,33.93911,67.709953
Afghanistan,2020-06-10,22228,33.93911,67.709953
Afghanistan,2020-06-11,22976,33.93911,67.709953
Afghanistan,2020-06-12,23632,33.93911,67.709953
Afghanistan,2020-06-13,24188,33.93911,67.709953
Afghanistan,2020-06-14,24852,33.93911,67.709953
Afghanistan,2020-06-15,25613,33.93911,67.709953
Afghanistan,2020-06-16,25719,33.93911,67.709953
Afghanistan,2020-06-17,26960,33.93911,67.709953
Afghanistan,2020-06-18,27423,33.93911,67.709953
Afghanistan,2020-06-19,27964,33.93911,67.709953
Afghanistan,2020-06-20,28383,33.93911,67.709953
Afghanistan,2020-06-21,28919,33.93911,67.709953
Afghanistan,2020-06-22,29229,33.93911,67.709953
Afghanistan,2020-06-23,29567,33.93911,67.709953
Afghanistan,2020-06-24,29726,33.93911,67.709953
Afghanistan,2020-06-25,30261,33.93911,67.709953
Afghanistan,2020-06-26,30346,33.93911,67.709953
Afghanistan,2020-06-27,30702,33.93911,67.709953
Afghanistan,2020-06-28,31053,33.93911,67.709953
Afghanistan,2020-06-29,31324,33.93911,67.709953
Afghanistan,2020-06-30,31445,33.93911,67.709953
Afghanistan,2020-07-01,31848,33.93911,67.709953
Afghanistan,2020-07-02,32108,33.93911,67.709953
Afghanistan,2020-07-03,32410,33.93911,67.709953
Afghanistan,2020-07-04,32758,33.93911,67.709953
Afghanistan,2020-07-05,33037,33.93911,67.709953
Afghanistan,2020-07-06,33150,33.93911,67.709953
Afghanistan,2020-07-07,33470,33.93911,67.709953
Afghanistan,2020-07-08,33680,33.93911,67.709953
Afghanistan,2020-07-09,33739,33.93911,67.709953
Afghanistan,2020-07-10,34280,33.93911,67.709953
Afghanistan,2020-07-11,34437,33.93911,67.709953
Afghanistan,2020-07-12,34537,33.93911,67.709953
Afghanistan,2020-07-13,34541,33.93911,67.709953
Afghanistan,2020-07-14,34826,33.93911,67.709953
Afghanistan,2020-07-15,35026,33.93911,67.709953
Afghanistan,2020-07-16,35156,33.93911,67.709953
Afghanistan,2020-07-17,35315,33.93911,67.709953
Afghanistan,2020-07-18,35375,33.93911,67.709953
Afghanistan,2020-07-19,35561,33.93911,67.709953
Afghanistan,2020-07-20,35595,33.93911,67.709953
Afghanistan,2020-07-21,35701,33.93911,67.709953
Afghanistan,2020-07-22,35813,33.93911,67.709953
Afghanistan,2020-07-23,36001,33.93911,67.709953
Afghanistan,2020-07-24,36067,33.93911,67.709953
Afghanistan,2020-07-25,36122,33.93911,67.709953
Afghanistan,2020-07-26,36243,33.93911,67.709953
Afghanistan,2020-07-27,36349,33.93911,67.709953
Afghanistan,2020-07-28,36454,33.93911,67.709953
Afghanistan,2020-07-29,36557,33.93911,67.709953
Afghanistan,2020-07-30,36628,33.93911,67.709953
Afghanistan,2020-07-31,36628,33.93911,67.709953
Afghanistan,2020-08-01,36796,33.93911,67.709953
Afghanistan,2020-08-02,36796,33.93911,67.709953
Afghanistan,2020-08-03,36796,33.93911,67.709953
Afghanistan,2020-08-04,36833,33.93911,67.709953
Afghanistan,2020-08-05,36915,33.93911,67.709953
Afghanistan,2020-08-06,36982,33.93911,67.709953
Afghanistan,2020-08-07,37023,33.93911,67.709953
Afghanistan,2020-08-08,37101,33.93911,67.709953
Afghanistan,2020-08-09,37140,33.93911,67.709953
Afghanistan,2020-08-10,37140,33.93911,67.709953
Afghanistan,2020-08-11,37355,33.93911,67.709953
Afghanistan,2020-08-12,37431,33.93911,67.709953
Afghanistan,2020-08-13,37510,33.93911,67.709953
Afghanistan,2020-08-14,37517,33.93911,67.709953
Afghanistan,2020-08-15,37637,33.93911,67.709953
Afghanistan,2020-08-16,37682,33.93911,67.709953
Afghanistan,2020-08-17,37682,33.93911,67.709953
Afghanistan,2020-08-18,37685,33.93911,67.709953
Afghanistan,2020-08-19,37685,33.93911,67.709953
Afghanistan,2020-08-20,37845,33.93911,67.709953
Afghanistan,2020-08-21,37942,33.93911,67.709953
Afghanistan,2020-08-22,37980,33.93911,67.709953
Afghanistan,2020-08-23,38039,33.93911,67.709953
Afghanistan,2020-08-24,38085,33.93911,67.709953
Afghanistan,2020-08-25,38156,33.93911,67.709953
Afghanistan,2020-08-26,38199,33.93911,67.709953
Afghanistan,2020-08-27,38215,33.93911,67.709953
Afghanistan,2020-08-28,38226,33.93911,67.709953
Afghanistan,2020-08-29,38229,33.93911,67.709953
Afghanistan,2020-08-30,38229,33.93911,67.709953
Afghanistan,2020-08-31,38248,33.93911,67.709953
Afghanistan,2020-09-01,38282,33.93911,67.709953
Afghanistan,2020-09-02,38329,33.93911,67.709953
Afghanistan,2020-09-03,38374,33.93911,67.709953
Afghanistan,2020-09-04,38374,33.93911,67.709953
Afghanistan,2020-09-05,38390,33.93911,67.709953
Afghanistan,2020-09-06,38484,33.93911,67.709953
Afghanistan,2020-09-07,38580,33.93911,67.709953
Afghanistan,2020-09-08,38606,33.93911,67.709953
Afghanistan,2020-09-09,38630,33.93911,67.709953
Afghanistan,2020-09-10,38658,33.93911,67.709953
Afghanistan,2020-09-11,38692,33.93911,67.709953
Afghanistan,2020-09-12,38727,33.93911,67.709953
Afghanistan,2020-09-13,38802,33.93911,67.709953
Afghanistan,2020-09-14,38858,33.93911,67.709953
Afghanistan,2020-09-15,38901,33.93911,67.709953
Afghanistan,2020-09-16,38941,33.93911,67.709953
Afghanistan,2020-09-17,38958,33.93911,67.709953
Afghanistan,2020-09-18,38969,33.93911,67.709953
Afghanistan,2020-09-19,39005,33.93911,67.709953
Afghanistan,2020-09-20,39130,33.93911,67.709953
