country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,15-02-2020,0,4,5,0,2,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,16-02-2020,1,4,4,1,2,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,17-02-2020,-1,1,5,1,2,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,18-02-2020,-2,1,5,0,2,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,19-02-2020,-2,0,4,-1,2,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,20-02-2020,-2,1,6,1,1,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,21-02-2020,-3,2,6,0,-1,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,22-02-2020,-2,2,4,-2,3,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,23-02-2020,-1,3,3,-1,4,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,24-02-2020,-3,0,5,-1,3,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,25-02-2020,-3,2,3,-2,3,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,26-02-2020,-2,1,-3,-2,3,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,27-02-2020,1,5,-1,-1,3,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,28-02-2020,1,5,-1,-1,1,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,29-02-2020,2,7,-1,-1,5,0
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,01-03-2020,3,10,2,-1,4,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,02-03-2020,0,7,1,-2,4,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,03-03-2020,0,6,0,-5,4,1
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,04-03-2020,-1,7,-2,-5,3,2
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,05-03-2020,-3,6,-2,-5,3,2
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,06-03-2020,-7,5,-8,-9,0,3
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,07-03-2020,-3,6,1,-8,4,2
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,08-03-2020,1,8,6,-9,-1,3
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,09-03-2020,-3,4,4,-10,-1,4
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,10-03-2020,-4,6,3,-11,-2,4
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,11-03-2020,-4,5,0,-12,-2,4
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,12-03-2020,-8,6,-6,-15,-3,5
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,13-03-2020,-16,3,-15,-20,-2,5
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,14-03-2020,-12,4,-12,-17,2,4
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,15-03-2020,-6,11,-11,-15,-4,5
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,16-03-2020,-11,8,-14,-17,-6,6
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,17-03-2020,-16,5,-18,-22,-9,7
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,18-03-2020,-19,2,-19,-25,-11,9
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,19-03-2020,-24,-1,-26,-31,-12,11
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,20-03-2020,-37,-11,-45,-44,-12,11
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,21-03-2020,-32,-12,-37,-42,-8,10
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,22-03-2020,-30,-13,-36,-45,-17,13
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,23-03-2020,-27,14,-38,-46,-20,14
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,24-03-2020,-39,-6,-43,-53,-28,17
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,25-03-2020,-50,-18,-47,-60,-35,21
country_region_code,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,26-03-2020,-55,-13,-54,-67,-40,25
